item_id,categories
86,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Swivels & Snaps"
87,"Sports & Outdoors,Sports,Leisure Sports & Game Room,Billiards & Pool,Gloves"
88,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Spoons"
89,"Sports & Outdoors,Sports,Leisure Sports & Game Room,Billiards & Pool,Cue Sticks & Accessories"
90,"Sports & Outdoors,Hunting & Fishing,Fishing,Rods & Accessories,Rods"
91,"Sports & Outdoors,Hunting & Fishing,Fishing,Accessories,Fishing Belts"
92,"Sports & Outdoors,Hunting & Fishing,Fishing,Fishing Line,Braided Line"
93,"Sports & Outdoors,Exercise & Fitness,Fitness Technology,Activity & Fitness Trackers"
94,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Docking & Anchoring Equipment,Anchors"
95,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Electrical Equipment,Navigation Lights"
96,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Docking & Anchoring Equipment,Dock Lines & Rope"
97,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Sleeping Bags"
98,"Sports & Outdoors,Hunting & Fishing,Shooting,Eyewear & Hearing Protection,Earmuffs"
99,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Sleeping Bags"
100,"Sports & Outdoors,Fan Shop,Clothing Accessories,Caps & Hats,Skullies & Beanies"
101,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers"
102,"Sports & Outdoors,Hunting & Fishing,Tactical & Personal Defense,Tactical Bags & Packs,Tactical Backpacks"
103,"Sports & Outdoors,Exercise & Fitness,Strength Training Equipment,Weights & Accessories,Dumbbells"
104,"Sports & Outdoors,Exercise & Fitness,Strength Training Equipment,Weights & Accessories,Bars"
105,"Sports & Outdoors,Exercise & Fitness,Exercise Machine Parts & Accessories,Exercise Machine Attachments"
106,"Sports & Outdoors,Exercise & Fitness,Strength Training Equipment,Benches,Adjustable Benches"
107,"Sports & Outdoors,Exercise & Fitness,Accessories,Straps"
108,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Holsters, Cases & Bags,Gun Holsters"
109,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Holsters, Cases & Bags,Gun Holsters"
110,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Holsters, Cases & Bags,Gun Holsters"
111,"Sports & Outdoors,Hunting & Fishing,Shooting,Optics,Gun Scopes,Rifle Scopes"
112,"Sports & Outdoors,Sports,Airsoft,Sights & Optics,Gun Scope Mounts"
113,"Sports & Outdoors,Sports,Airsoft,Pellets"
114,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Maintenance,Gunsmithing Tools"
115,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Parts & Accessories,Gun Stock Accessories"
116,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Parts & Accessories,Gun Stock Accessories"
117,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Maintenance,Gunsmithing Tools"
118,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Maintenance,Gunsmithing Tools"
119,"Sports & Outdoors,Hunting & Fishing,Shooting,Optics,Gun Scopes,Rifle Scopes"
120,"Sports & Outdoors,Hunting & Fishing,Shooting,Optics,Gun Scopes,Rifle Scopes"
121,"Sports & Outdoors,Sports,Airsoft,BBs"
122,"Sports & Outdoors,Hunting & Fishing,Shooting,Air Guns & Accessories,Air Gun Pellets"
123,"Sports & Outdoors,Sports,Airsoft,Sights & Optics,Gun Scope Mounts"
124,"Sports & Outdoors,Hunting & Fishing,Fishing,Accessories,Fishing Hats"
125,Sports & Outdoors
126,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Holsters, Cases & Bags"
127,"Sports & Outdoors,Sports,Tennis & Racquet Sports,Badminton,Racquets"
128,"Sports & Outdoors,Hunting & Fishing,Shooting,Optics,Optics Accessories"
129,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Maintenance,Gun Lubrication"
130,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Maintenance,Gunsmithing Tools"
131,"Sports & Outdoors,Hunting & Fishing,Fishing,Terminal Tackle & Accessories,Tackle Boxes"
132,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Maintenance,Gun Solvents"
133,"Sports & Outdoors,Exercise & Fitness,Strength Training Equipment,Resistance Bands"
134,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Self-Inflating Sleeping Mats"
135,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camping Furniture,Cots & Hammocks,Cots"
136,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Stoves & Grills,Camping Stoves"
137,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tents"
138,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camping Furniture,Chairs"
139,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking"
140,"Sports & Outdoors,Sports,Golf,Golf Club Parts,Grips"
141,"Sports & Outdoors,Exercise & Fitness,Yoga,Towels"
142,"Sports & Outdoors,Sports,Golf,Golf Club Parts,Grips"
143,"Sports & Outdoors,Sports,Golf,Golf Club Parts,Grips"
144,"Sports & Outdoors,Sports,Skates, Skateboards & Scooters,Scooters & Equipment,Scooters,Kick Scooters"
145,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Maintenance Supplies,Cleaners"
146,"Sports & Outdoors,Sports,Golf,Golf Clubs,Putters"
147,"Sports & Outdoors,Sports,Golf,On-Course Accessories,Tees"
148,"Sports & Outdoors,Sports,Team Sports,Baseball,Accessories,Equipment Bags"
149,"Sports & Outdoors,Sports,Golf,Accessories,Spikes"
150,"Sports & Outdoors,Fan Shop,Clothing,T-Shirts"
151,"Sports & Outdoors,Sports,Cycling,Parts & Components,Suspension"
152,"Sports & Outdoors,Sports,Golf,Accessories,Rangefinders"
153,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Maintenance,Gunsmithing Tools"
154,"Sports & Outdoors,Hunting & Fishing,Tactical & Personal Defense,Tactical Bags & Packs,Tactical Bag Accessories"
155,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Holsters, Cases & Bags,Rifle Cases,Soft Rifle Cases"
156,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Safety & Survival,First Aid Kits"
157,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun & Ammunition Storage & Safes,Gun Racks,Indoor Gun Racks"
158,"Sports & Outdoors,Hunting & Fishing,Shooting,Optics,Spotting Scopes"
159,"Sports & Outdoors,Hunting & Fishing,Tactical & Personal Defense,Tactical Knives"
160,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun & Ammunition Storage & Safes,Ammunition & Magazine Pouches"
161,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun & Ammunition Storage & Safes,Gun Racks,Indoor Gun Racks"
162,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Holsters, Cases & Bags,Gun Holsters"
163,"Sports & Outdoors,Hunting & Fishing,Tactical & Personal Defense,Tactical Bags & Packs,Tactical Bag Accessories"
164,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Holsters, Cases & Bags,Gun Holsters"
165,"Sports & Outdoors,Hunting & Fishing,Hunting,Hunting Bags & Belts,Hunting Bags"
166,"Sports & Outdoors,Hunting & Fishing,Tactical & Personal Defense,Tactical Bags & Packs"
167,"Sports & Outdoors,Sports,Golf,Training Equipment,Hitting Mats"
168,"Sports & Outdoors,Sports,Golf,Golf Balls,Practice Balls"
169,"Sports & Outdoors,Sports,Golf,Training Equipment,Swing Trainers"
170,"Sports & Outdoors,Sports,Golf,On-Course Accessories,Tees"
171,"Sports & Outdoors,Sports,Golf,Training Equipment,Net Systems"
172,"Sports & Outdoors,Sports,Golf,On-Course Accessories"
173,"Sports & Outdoors,Sports,Golf,On-Course Accessories,Tees"
174,"Sports & Outdoors,Sports,Golf,On-Course Accessories,Tees"
175,"Sports & Outdoors,Sports,Golf,Accessories,Head Covers"
176,"Sports & Outdoors,Sports,Golf,Accessories,Head Covers"
177,"Sports & Outdoors,Sports,Golf"
178,"Sports & Outdoors,Sports,Golf,Golf Balls,Practice Balls"
179,"Sports & Outdoors,Sports,Golf,Golf Clubs,Putters"
180,"Sports & Outdoors,Sports,Golf,Golf Clubs,Wedges,Sand Wedges"
181,"Sports & Outdoors,Sports,Golf,Golf Clubs,Drivers"
182,"Sports & Outdoors,Sports,Golf"
183,"Sports & Outdoors,Clothing,Men,Accessories,Eyewear"
184,"Sports & Outdoors,Sports,Golf,On-Course Accessories,Tees"
185,"Sports & Outdoors,Sports,Golf,Golf Club Bag Accessories"
186,"Sports & Outdoors,Sports,Golf,Gloves"
187,"Sports & Outdoors,Sports,Golf,Golf Clubs,Wedges,Sand Wedges"
188,"Sports & Outdoors,Sports,Golf,Golf Balls,Standard Balls"
189,"Sports & Outdoors,Sports,Golf,Golf Club Bags,Cart Bags"
190,"Sports & Outdoors,Sports,Golf,Gloves"
191,"Sports & Outdoors,Sports,Golf,Accessories,Head Covers"
192,"Sports & Outdoors,Sports,Golf,Accessories,Spikes"
193,"Sports & Outdoors,Sports,Golf,Golf Balls,Standard Balls"
194,"Sports & Outdoors,Sports,Golf,Gloves"
195,"Sports & Outdoors,Sports,Golf,Accessories,Head Covers"
196,"Sports & Outdoors,Sports,Golf,On-Course Accessories,Umbrellas"
197,"Sports & Outdoors,Sports,Golf,Golf Cart Accessories"
198,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Holsters, Cases & Bags,Gun Belts"
199,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun & Ammunition Storage & Safes,Ammunition & Magazine Pouches"
200,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Maintenance,Gunsmithing Tools"
201,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Cooler Accessories"
202,"Sports & Outdoors,Hunting & Fishing,Shooting,Targets & Accessories"
203,"Sports & Outdoors,Hunting & Fishing,Tactical & Personal Defense,Tactical Bags & Packs,Tactical Backpacks"
204,"Sports & Outdoors,Hunting & Fishing,Hunting,Hunting Accessories,Camouflage Accessories"
205,"Sports & Outdoors,Sports,Team Sports,Lacrosse,Balls"
206,"Sports & Outdoors,Sports,Golf,Training Equipment,Swing Trainers"
207,"Sports & Outdoors,Outdoor Recreation,Climbing,Bouldering & Wall Equipment,Chalk Bags"
208,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers"
209,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Coolers"
210,"Sports & Outdoors,Outdoor Recreation,Climbing,Bouldering & Wall Equipment,Chalk Bags"
211,"Sports & Outdoors,Sports,Golf,Golf Cart Accessories"
212,"Sports & Outdoors,Fan Shop,Sports Equipment,Golf Equipment,Golf Club Head Covers"
213,"Sports & Outdoors,Outdoor Recreation,Accessories,Reflective Gear"
214,"Sports & Outdoors,Sports,Team Sports,Basketball,Basketballs"
215,"Sports & Outdoors,Fan Shop,Sports Equipment,Basketball Equipment,Basketballs"
216,"Sports & Outdoors,Sports,Other Sports,Gymnastics,Gym & Competition Equipment,Balance Beams & Bases"
217,"Sports & Outdoors,Exercise & Fitness,Strength Training Equipment,Weights & Accessories,Plates"
218,"Sports & Outdoors,Sports & Outdoor Recreation Accessories,Sports Water Bottles"
219,"Sports & Outdoors,Exercise & Fitness,Cardio Training,Exercise Bikes"
220,Sports & Outdoors
221,"Sports & Outdoors,Exercise & Fitness,Strength Training Equipment,Resistance Bands"
222,"Sports & Outdoors,Sports & Outdoor Recreation Accessories,Coach & Referee Gear,Scorebooks"
223,"Sports & Outdoors,Exercise & Fitness,Strength Training Equipment,Weights & Accessories,Bars"
224,"Sports & Outdoors,Exercise & Fitness,Strength Training Equipment,Weights & Accessories,Bars"
225,"Sports & Outdoors,Exercise & Fitness,Exercise Machine Parts & Accessories,Exercise Machine Attachments"
226,"Sports & Outdoors,Fan Shop,Clothing,T-Shirts"
227,"Sports & Outdoors,Exercise & Fitness,Strength Training Equipment,Pull-Up Bars"
228,"Sports & Outdoors,Exercise & Fitness,Yoga,Mats"
229,"Sports & Outdoors,Sports & Outdoor Recreation Accessories,Coach & Referee Gear,Scoreboards & Timers"
230,"Sports & Outdoors,Exercise & Fitness,Speed & Agility Training,Agility Ladders"
231,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Backpacks, Bags & Accessories,Backpacking Packs,Hiking Daypacks"
232,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Stoves & Grills,Camping Stoves"
233,"Sports & Outdoors,Hunting & Fishing,Fishing,Accessories,Line Spooling Accessories"
234,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Safety & Flotation Devices,Life Jackets & Vests"
235,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Soft Lures"
236,"Sports & Outdoors,Hunting & Fishing,Fishing,Lures, Baits & Attractants,Soft Lures"
237,"Sports & Outdoors,Hunting & Fishing,Fishing,Baits & Accessories,Baits & Attractants"
238,"Sports & Outdoors,Sports,Water Sports,Kayaking,Kayaks,Fishing Kayaks"
239,"Sports & Outdoors,Sports,Running,Waist Packs"
240,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tents"
241,"Sports & Outdoors,Exercise & Fitness,Speed & Agility Training,Speed Hurdles"
242,"Sports & Outdoors,Sports,Cycling,Parts & Components,Bike Brakes & Parts,Brake Parts,Brake Calipers"
243,"Sports & Outdoors,Sports,Cycling,Parts & Components,Derailleurs & Shifters,Shifters & Parts,Shift Levers"
244,"Sports & Outdoors,Sports,Cycling,Parts & Components,Bike Brakes & Parts,Brake Parts,Brake Calipers"
245,"Sports & Outdoors,Sports,Cycling,Parts & Components,Derailleurs & Shifters,Shifters & Parts,Shifters"
246,"Sports & Outdoors,Sports,Cycling,Parts & Components,Derailleurs & Shifters,Derailleurs,Front Derailleurs"
247,"Sports & Outdoors,Sports,Cycling,Tires & Tubes,Tires"
248,"Sports & Outdoors,Sports,Cycling,Parts & Components,Derailleurs & Shifters,Shifters & Parts,Shifters"
249,"Sports & Outdoors,Sports,Cycling,Parts & Components,Derailleurs & Shifters,Shifters & Parts,Shifters"
250,"Sports & Outdoors,Sports,Cycling,Parts & Components,Drivetrain Components,Chains"
251,"Sports & Outdoors,Sports,Cycling,Parts & Components,Bike Brakes & Parts,Brake Parts,Brake Levers"
252,"Sports & Outdoors,Sports,Cycling,Tires & Tubes,Tires"
253,"Sports & Outdoors,Sports,Cycling,Parts & Components,Seats & Saddles"
254,"Sports & Outdoors,Hunting & Fishing,Tactical & Personal Defense,Paracord"
255,"Sports & Outdoors,Sports,Airsoft,Sights & Optics,Gun Scopes"
256,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Sleeping Bag Accessories,Stuff Sacks"
257,"Sports & Outdoors,Hunting & Fishing,Tactical & Personal Defense,Tactical Bags & Packs"
258,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Freeze-Dried Food"
259,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Freeze-Dried Food"
260,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Tents & Shelters,Tent Accessories,Tent Tarps"
261,"Sports & Outdoors,Sports,Airsoft,Targets"
262,"Sports & Outdoors,Hunting & Fishing,Archery,Bows,Basic Bows"
263,"Sports & Outdoors,Hunting & Fishing,Archery,Arrows & Parts,Arrows & Shafts,Targeting Arrows"
264,"Sports & Outdoors,Sports & Outdoor Recreation Accessories,Field, Court & Rink Equipment,Stadium Seats & Cushions"
265,"Sports & Outdoors,Sports,Airsoft,Targets"
266,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Parts & Accessories,Monopods & Bipods"
267,"Sports & Outdoors,Sports,Airsoft,Sights & Optics,Gun Scope Mounts"
268,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Parts & Accessories,Gun Stock Accessories"
269,"Sports & Outdoors,Hunting & Fishing,Shooting,Targets & Accessories"
270,"Sports & Outdoors,Outdoor Recreation,Climbing,Carabiners & Quickdraws,Nonlocking Carabiners"
271,"Sports & Outdoors,Sports,Team Sports,Soccer,Balls"
272,"Sports & Outdoors,Sports & Outdoor Recreation Accessories,Field, Court & Rink Equipment,Soccer Field Equipment,Goals"
273,"Sports & Outdoors,Sports,Team Sports,Soccer,Accessories,Equipment Bags"
274,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Parts & Accessories,Recoil Pads"
275,"Sports & Outdoors,Sports & Outdoor Recreation Accessories,Field, Court & Rink Equipment,Cones & Pylons"
276,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun Maintenance,Gun Cleaning Kits"
277,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Trekking Poles"
278,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun & Ammunition Storage & Safes,Ammunition & Magazine Pouches"
279,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking"
280,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Camp Kitchen,Stove Accessories,Replacement Fuel"
281,"Sports & Outdoors,Hunting & Fishing,Shooting,Gun Accessories, Maintenance & Storage,Gun & Ammunition Storage & Safes,Ammunition & Magazine Pouches"
282,"Sports & Outdoors,Sports,Skates, Skateboards & Scooters,Scooters & Equipment,Scooters,Kick Scooters"
283,"Sports & Outdoors,Sports,Winter Sports,Winter Sports Accessories,Goggles & Lenses,Goggles"
284,"Sports & Outdoors,Hunting & Fishing,Shooting,Targets & Accessories"
285,"Sports & Outdoors,Hunting & Fishing,Tactical & Personal Defense,Tactical Bags & Packs,Tactical Bag Accessories"
286,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Self-Inflating Sleeping Mats"
287,"Sports & Outdoors,Sports,Cycling,Parts & Components,Bike Brakes & Parts,Brake Parts,Brake Pads"
288,"Sports & Outdoors,Sports & Outdoor Recreation Accessories,Inflation Devices & Accessories"
289,"Sports & Outdoors,Sports,Team Sports,Soccer,Balls"
290,"Sports & Outdoors,Exercise & Fitness,Accessories,Exercise Equipment Mats"
291,"Sports & Outdoors,Sports,Leisure Sports & Game Room,Outdoor Games & Activities,Toss Games,Horseshoes"
292,"Sports & Outdoors,Outdoor Recreation,Camping & Hiking,Sleeping Bags & Camp Bedding,Blankets"
293,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Boat Engine Parts,Fuel Tanks"
294,"Sports & Outdoors,Sports,Boating & Sailing,Boating,Docking & Anchoring Equipment,Mooring Buoys"
